1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; -5.052757e-02 + i -3.971191e-01 ; 0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.105942e-06 + i -3.837396e-05 ; -1.833622e-02 + i -1.441127e-01 ; -1.833622e-02 + i -1.441127e-01 ; -9.373524e-03 + i -7.367688e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.675674e-03 + i -2.889489e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -6.383167e-03 + i -5.017431e-02 ; -3.758911e-03 + i -2.954299e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.979193e-03 + i -2.342094e-02 ; -1.242300e-03 + i -9.763800e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.383167e-03 + i -5.017431e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.758911e-03 + i -2.954299e-02 ; -2.979193e-03 + i -2.342094e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.242300e-03 + i -9.763800e-03 ; -4.479575e-03 + i -3.521312e-02 ; -2.842100e-03 + i -2.233735e-02 ; -2.842100e-03 + i -2.233735e-02 ; -2.438680e-03 + i -1.917280e-02 ; -1.056215e-03 + i -8.301275e-03 ; -1.056215e-03 + i -8.301275e-03 ; 
-1.833622e-02 + i -1.441127e-01 ; -1.833622e-02 + i -1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; -0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; -5.052757e-02 + i -3.971191e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; 8.882305e-03 + i 6.981006e-02 ; -5.135639e-03 + i -4.036332e-02 ; 3.405883e-03 + i 2.676227e-02 ; 2.842100e-03 + i 2.233735e-02 ; -1.041237e-03 + i -8.183553e-03 ; 2.236820e-03 + i 1.757408e-02 ; 1.553329e-02 + i 1.220832e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.964264e-03 + i 2.329139e-02 ; 3.758911e-03 + i 2.954299e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.499818e-03 + i 1.964110e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.194542e-02 + i 9.387838e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.841201e-02 + i 1.447023e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; 
-9.373524e-03 + i -7.367688e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.683636e-02 + i -2.895198e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.383167e-03 + i -5.017431e-02 ; 3.758911e-03 + i 2.954299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.492006e-02 + i -1.172696e-01 ; 1.553329e-02 + i 1.220832e-01 ; -0.000000e+00 + i -0.000000e+00 ; -6.383167e-03 + i -5.017431e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.758911e-03 + i 2.954299e-02 ; -1.492006e-02 + i -1.172696e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.553329e-02 + i 1.220832e-01 ; -4.479575e-03 + i -3.521312e-02 ; 2.842100e-03 + i 2.233735e-02 ; 2.842100e-03 + i 2.233735e-02 ; -6.820798e-03 + i -5.361385e-02 ; 8.882305e-03 + i 6.981006e-02 ; 8.882305e-03 + i 6.981006e-02 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; -5.052757e-02 + i -3.971191e-01 ; 0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.105942e-06 + i -3.837396e-05 ; -1.833622e-02 + i -1.441127e-01 ; -1.833622e-02 + i -1.441127e-01 ; 
-0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.841201e-02 + i 1.447023e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.758911e-03 + i 2.954299e-02 ; 2.499818e-03 + i 1.964110e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.553329e-02 + i 1.220832e-01 ; 2.964264e-03 + i 2.329139e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.194542e-02 + i 9.387838e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.842100e-03 + i 2.233735e-02 ; 2.236820e-03 + i 1.757408e-02 ; -1.041237e-03 + i -8.183553e-03 ; 8.882305e-03 + i 6.981006e-02 ; 3.405883e-03 + i 2.676227e-02 ; -5.135639e-03 + i -4.036332e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; 0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; -5.052757e-02 + i -3.971191e-01 ; -1.833622e-02 + i -1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; -1.833622e-02 + i -1.441127e-01 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.841201e-02 + i 1.447023e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.194542e-02 + i 9.387838e-02 ; 3.758911e-03 + i 2.954299e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.499818e-03 + i 1.964110e-02 ; 1.553329e-02 + i 1.220832e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.964264e-03 + i 2.329139e-02 ; 2.842100e-03 + i 2.233735e-02 ; -1.041237e-03 + i -8.183553e-03 ; 2.236820e-03 + i 1.757408e-02 ; 8.882305e-03 + i 6.981006e-02 ; -5.135639e-03 + i -4.036332e-02 ; 3.405883e-03 + i 2.676227e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; -5.052757e-02 + i -3.971191e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; -1.833622e-02 + i -1.441127e-01 ; -1.833622e-02 + i -1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; 
-3.675674e-03 + i -2.889489e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.373524e-03 + i -7.367688e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.979193e-03 + i -2.342094e-02 ; 1.242300e-03 + i 9.763800e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.383167e-03 + i -5.017431e-02 ; 3.758911e-03 + i 2.954299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.979193e-03 + i -2.342094e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.242300e-03 + i 9.763800e-03 ; -6.383167e-03 + i -5.017431e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.758911e-03 + i 2.954299e-02 ; -2.438680e-03 + i -1.917280e-02 ; 1.056215e-03 + i 8.301275e-03 ; 1.056215e-03 + i 8.301275e-03 ; -4.479575e-03 + i -3.521312e-02 ; 2.842100e-03 + i 2.233735e-02 ; 2.842100e-03 + i 2.233735e-02 ; -1.905549e-01 + i -1.497663e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 5.052757e-02 + i 3.971191e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.052757e-02 + i 3.971191e-01 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.105942e-06 + i -3.837396e-05 ; 1.833622e-02 + i 1.441127e-01 ; 1.833622e-02 + i 1.441127e-01 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.835593e-03 + i 1.442065e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.242300e-03 + i 9.763800e-03 ; 1.320920e-03 + i 1.037561e-02 ; 0.000000e+00 + i -0.000000e+00 ; 3.758911e-03 + i 2.954299e-02 ; 2.499818e-03 + i 1.964110e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.654017e-03 + i 1.299357e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.056215e-03 + i 8.301275e-03 ; 1.217317e-03 + i 9.561342e-03 ; -2.832024e-04 + i -2.225816e-03 ; 2.842100e-03 + i 2.233735e-02 ; 2.236820e-03 + i 1.757408e-02 ; -1.041237e-03 + i -8.183553e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.052757e-02 + i 3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.833622e-02 + i 1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; -1.833622e-02 + i -1.441127e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; -5.052757e-02 + i -3.971191e-01 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.835593e-03 + i 1.442065e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.654017e-03 + i 1.299357e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; 1.242300e-03 + i 9.763800e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.320920e-03 + i 1.037561e-02 ; 3.758911e-03 + i 2.954299e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.499818e-03 + i 1.964110e-02 ; 1.056215e-03 + i 8.301275e-03 ; -2.832024e-04 + i -2.225816e-03 ; 1.217317e-03 + i 9.561342e-03 ; 2.842100e-03 + i 2.233735e-02 ; -1.041237e-03 + i -8.183553e-03 ; 2.236820e-03 + i 1.757408e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; 5.052757e-02 + i 3.971191e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; 1.833622e-02 + i 1.441127e-01 ; -1.833622e-02 + i -1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; 0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; 
-6.383167e-03 + i -5.017431e-02 ; -3.758911e-03 + i -2.954299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.492006e-02 + i -1.172696e-01 ; -1.553329e-02 + i -1.220832e-01 ; -0.000000e+00 + i -0.000000e+00 ; -9.373524e-03 + i -7.367688e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.683636e-02 + i -2.895198e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.479575e-03 + i -3.521312e-02 ; -2.842100e-03 + i -2.233735e-02 ; 2.842100e-03 + i 2.233735e-02 ; -6.820798e-03 + i -5.361385e-02 ; -8.882305e-03 + i -6.981006e-02 ; 8.882305e-03 + i 6.981006e-02 ; -6.383167e-03 + i -5.017431e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.758911e-03 + i 2.954299e-02 ; -1.492006e-02 + i -1.172696e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.553329e-02 + i 1.220832e-01 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 5.052757e-02 + i 3.971191e-01 ; 0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.105942e-06 + i -3.837396e-05 ; 1.833622e-02 + i 1.441127e-01 ; -1.833622e-02 + i -1.441127e-01 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; 
-3.758911e-03 + i -2.954299e-02 ; 2.499818e-03 + i 1.964110e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.553329e-02 + i -1.220832e-01 ; 2.964264e-03 + i 2.329139e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.841201e-02 + i 1.447023e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.842100e-03 + i -2.233735e-02 ; 2.236820e-03 + i 1.757408e-02 ; 1.041237e-03 + i 8.183553e-03 ; -8.882305e-03 + i -6.981006e-02 ; 3.405883e-03 + i 2.676227e-02 ; 5.135639e-03 + i 4.036332e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.194542e-02 + i 9.387838e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.052757e-02 + i 3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 5.052757e-02 + i 3.971191e-01 ; 1.833622e-02 + i 1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; 1.833622e-02 + i 1.441127e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.194542e-02 + i 9.387838e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.841201e-02 + i 1.447023e-01 ; 2.842100e-03 + i 2.233735e-02 ; 1.041237e-03 + i 8.183553e-03 ; 2.236820e-03 + i 1.757408e-02 ; 8.882305e-03 + i 6.981006e-02 ; 5.135639e-03 + i 4.036332e-02 ; 3.405883e-03 + i 2.676227e-02 ; 3.758911e-03 + i 2.954299e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.499818e-03 + i 1.964110e-02 ; 1.553329e-02 + i 1.220832e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.964264e-03 + i 2.329139e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.052757e-02 + i 3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; -1.833622e-02 + i -1.441127e-01 ; 1.833622e-02 + i 1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; -5.052757e-02 + i -3.971191e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 
-2.979193e-03 + i -2.342094e-02 ; -1.242300e-03 + i -9.763800e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.383167e-03 + i -5.017431e-02 ; -3.758911e-03 + i -2.954299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.675674e-03 + i -2.889489e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.373524e-03 + i -7.367688e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.438680e-03 + i -1.917280e-02 ; -1.056215e-03 + i -8.301275e-03 ; 1.056215e-03 + i 8.301275e-03 ; -4.479575e-03 + i -3.521312e-02 ; -2.842100e-03 + i -2.233735e-02 ; 2.842100e-03 + i 2.233735e-02 ; -2.979193e-03 + i -2.342094e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.242300e-03 + i 9.763800e-03 ; -6.383167e-03 + i -5.017431e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.758911e-03 + i 2.954299e-02 ; -1.684773e-02 + i -1.324200e-01 ; -5.052757e-02 + i -3.971191e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.105942e-06 + i -3.837396e-05 ; -1.833622e-02 + i -1.441127e-01 ; 1.833622e-02 + i 1.441127e-01 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.052757e-02 + i 3.971191e-01 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-1.242300e-03 + i -9.763800e-03 ; 1.320920e-03 + i 1.037561e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.758911e-03 + i -2.954299e-02 ; 2.499818e-03 + i 1.964110e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.835593e-03 + i 1.442065e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.683274e-03 + i 3.680187e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.056215e-03 + i -8.301275e-03 ; 1.217317e-03 + i 9.561342e-03 ; 2.832024e-04 + i 2.225816e-03 ; -2.842100e-03 + i -2.233735e-02 ; 2.236820e-03 + i 1.757408e-02 ; 1.041237e-03 + i 8.183553e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.654017e-03 + i 1.299357e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.876939e-03 + i 3.046452e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.052757e-02 + i -3.971191e-01 ; -1.684773e-02 + i -1.324200e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.905549e-01 + i -1.497663e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.399053e+00 + i 3.136330e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.833622e-02 + i -1.441127e-01 ; -4.105942e-06 + i -3.837396e-05 ; 1.833622e-02 + i 1.441127e-01 ; -0.000000e+00 + i -0.000000e+00 ; -1.684773e-02 + i -1.324200e-01 ; 5.052757e-02 + i 3.971191e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.367985e-02 + i 2.646991e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.526592e-02 + i 7.487320e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
