3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; -2.858149e-01 + i -1.761303e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.403690e-05 + i -1.544185e-05 ; -1.037206e-01 + i -6.391672e-02 ; -1.037206e-01 + i -6.391672e-02 ; -5.302363e-02 + i -3.267587e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.079376e-02 + i -1.281456e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.610861e-02 + i -2.225217e-02 ; -2.126235e-02 + i -1.310269e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.685417e-02 + i -1.038683e-02 ; -7.026974e-03 + i -4.330297e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.610861e-02 + i -2.225217e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.126235e-02 + i -1.310269e-02 ; -1.685417e-02 + i -1.038683e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.026974e-03 + i -4.330297e-03 ; -2.534095e-02 + i -1.561672e-02 ; -1.607635e-02 + i -9.906875e-03 ; -1.607635e-02 + i -9.906875e-03 ; -1.379681e-02 + i -8.502765e-03 ; -5.974384e-03 + i -3.681650e-03 ; -5.974384e-03 + i -3.681650e-03 ; 
-1.037206e-01 + i -6.391672e-02 ; -1.037206e-01 + i -6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; -0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; -2.858149e-01 + i -1.761303e-01 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; 5.024336e-02 + i 3.096193e-02 ; -2.905009e-02 + i -1.790181e-02 ; 1.926407e-02 + i 1.187065e-02 ; 1.607635e-02 + i 9.906875e-03 ; -5.889759e-03 + i -3.629501e-03 ; 1.265035e-02 + i 7.795015e-03 ; 8.786534e-02 + i 5.414607e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.676636e-02 + i 1.033146e-02 ; 2.126235e-02 + i 1.310269e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.413814e-02 + i 8.711850e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.756902e-02 + i 4.163805e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041485e-01 + i 6.417978e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; 
-5.302363e-02 + i -3.267587e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.083693e-01 + i -1.284060e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.610861e-02 + i -2.225217e-02 ; 2.126235e-02 + i 1.310269e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.439778e-02 + i -5.200985e-02 ; 8.786534e-02 + i 5.414607e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.610861e-02 + i -2.225217e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.126235e-02 + i 1.310269e-02 ; -8.439778e-02 + i -5.200985e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.786534e-02 + i 5.414607e-02 ; -2.534095e-02 + i -1.561672e-02 ; 1.607635e-02 + i 9.906875e-03 ; 1.607635e-02 + i 9.906875e-03 ; -3.858385e-02 + i -2.377751e-02 ; 5.024336e-02 + i 3.096193e-02 ; 5.024336e-02 + i 3.096193e-02 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; -2.858149e-01 + i -1.761303e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.403690e-05 + i -1.544185e-05 ; -1.037206e-01 + i -6.391672e-02 ; -1.037206e-01 + i -6.391672e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041485e-01 + i 6.417978e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.126235e-02 + i 1.310269e-02 ; 1.413814e-02 + i 8.711850e-03 ; 0.000000e+00 + i -0.000000e+00 ; 8.786534e-02 + i 5.414607e-02 ; 1.676636e-02 + i 1.033146e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.756902e-02 + i 4.163805e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.607635e-02 + i 9.906875e-03 ; 1.265035e-02 + i 7.795015e-03 ; -5.889759e-03 + i -3.629501e-03 ; 5.024336e-02 + i 3.096193e-02 ; 1.926407e-02 + i 1.187065e-02 ; -2.905009e-02 + i -1.790181e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; -2.858149e-01 + i -1.761303e-01 ; -1.037206e-01 + i -6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; -1.037206e-01 + i -6.391672e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041485e-01 + i 6.417978e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.756902e-02 + i 4.163805e-02 ; 2.126235e-02 + i 1.310269e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.413814e-02 + i 8.711850e-03 ; 8.786534e-02 + i 5.414607e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.676636e-02 + i 1.033146e-02 ; 1.607635e-02 + i 9.906875e-03 ; -5.889759e-03 + i -3.629501e-03 ; 1.265035e-02 + i 7.795015e-03 ; 5.024336e-02 + i 3.096193e-02 ; -2.905009e-02 + i -1.790181e-02 ; 1.926407e-02 + i 1.187065e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; -2.858149e-01 + i -1.761303e-01 ; 0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; -1.037206e-01 + i -6.391672e-02 ; -1.037206e-01 + i -6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; 
-2.079376e-02 + i -1.281456e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.302363e-02 + i -3.267587e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.685417e-02 + i -1.038683e-02 ; 7.026974e-03 + i 4.330297e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.610861e-02 + i -2.225217e-02 ; 2.126235e-02 + i 1.310269e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.685417e-02 + i -1.038683e-02 ; -0.000000e+00 + i -0.000000e+00 ; 7.026974e-03 + i 4.330297e-03 ; -3.610861e-02 + i -2.225217e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.126235e-02 + i 1.310269e-02 ; -1.379681e-02 + i -8.502765e-03 ; 5.974384e-03 + i 3.681650e-03 ; 5.974384e-03 + i 3.681650e-03 ; -2.534095e-02 + i -1.561672e-02 ; 1.607635e-02 + i 9.906875e-03 ; 1.607635e-02 + i 9.906875e-03 ; -1.077896e+00 + i -6.642425e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 2.858149e-01 + i 1.761303e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.858149e-01 + i 1.761303e-01 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.403690e-05 + i -1.544185e-05 ; 1.037206e-01 + i 6.391672e-02 ; 1.037206e-01 + i 6.391672e-02 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.038037e-02 + i 6.396163e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; -0.000000e+00 + i -0.000000e+00 ; 7.026974e-03 + i 4.330297e-03 ; 7.469087e-03 + i 4.602115e-03 ; 0.000000e+00 + i -0.000000e+00 ; 2.126235e-02 + i 1.310269e-02 ; 1.413814e-02 + i 8.711850e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.353225e-03 + i 5.763195e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.974384e-03 + i 3.681650e-03 ; 6.882999e-03 + i 4.240945e-03 ; -1.601908e-03 + i -9.871587e-04 ; 1.607635e-02 + i 9.906875e-03 ; 1.265035e-02 + i 7.795015e-03 ; -5.889759e-03 + i -3.629501e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.858149e-01 + i 1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.037206e-01 + i 6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; -1.037206e-01 + i -6.391672e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; -2.858149e-01 + i -1.761303e-01 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.038037e-02 + i 6.396163e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.353225e-03 + i 5.763195e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; 7.026974e-03 + i 4.330297e-03 ; 0.000000e+00 + i -0.000000e+00 ; 7.469087e-03 + i 4.602115e-03 ; 2.126235e-02 + i 1.310269e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.413814e-02 + i 8.711850e-03 ; 5.974384e-03 + i 3.681650e-03 ; -1.601908e-03 + i -9.871587e-04 ; 6.882999e-03 + i 4.240945e-03 ; 1.607635e-02 + i 9.906875e-03 ; -5.889759e-03 + i -3.629501e-03 ; 1.265035e-02 + i 7.795015e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; 2.858149e-01 + i 1.761303e-01 ; 0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; 1.037206e-01 + i 6.391672e-02 ; -1.037206e-01 + i -6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; 0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; 
-3.610861e-02 + i -2.225217e-02 ; -2.126235e-02 + i -1.310269e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.439778e-02 + i -5.200985e-02 ; -8.786534e-02 + i -5.414607e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.302363e-02 + i -3.267587e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.083693e-01 + i -1.284060e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.534095e-02 + i -1.561672e-02 ; -1.607635e-02 + i -9.906875e-03 ; 1.607635e-02 + i 9.906875e-03 ; -3.858385e-02 + i -2.377751e-02 ; -5.024336e-02 + i -3.096193e-02 ; 5.024336e-02 + i 3.096193e-02 ; -3.610861e-02 + i -2.225217e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.126235e-02 + i 1.310269e-02 ; -8.439778e-02 + i -5.200985e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.786534e-02 + i 5.414607e-02 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 2.858149e-01 + i 1.761303e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.403690e-05 + i -1.544185e-05 ; 1.037206e-01 + i 6.391672e-02 ; -1.037206e-01 + i -6.391672e-02 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; 
-2.126235e-02 + i -1.310269e-02 ; 1.413814e-02 + i 8.711850e-03 ; -0.000000e+00 + i -0.000000e+00 ; -8.786534e-02 + i -5.414607e-02 ; 1.676636e-02 + i 1.033146e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041485e-01 + i 6.417978e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.607635e-02 + i -9.906875e-03 ; 1.265035e-02 + i 7.795015e-03 ; 5.889759e-03 + i 3.629501e-03 ; -5.024336e-02 + i -3.096193e-02 ; 1.926407e-02 + i 1.187065e-02 ; 2.905009e-02 + i 1.790181e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.756902e-02 + i 4.163805e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.858149e-01 + i 1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 2.858149e-01 + i 1.761303e-01 ; 1.037206e-01 + i 6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; 1.037206e-01 + i 6.391672e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.756902e-02 + i 4.163805e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.041485e-01 + i 6.417978e-02 ; 1.607635e-02 + i 9.906875e-03 ; 5.889759e-03 + i 3.629501e-03 ; 1.265035e-02 + i 7.795015e-03 ; 5.024336e-02 + i 3.096193e-02 ; 2.905009e-02 + i 1.790181e-02 ; 1.926407e-02 + i 1.187065e-02 ; 2.126235e-02 + i 1.310269e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.413814e-02 + i 8.711850e-03 ; 8.786534e-02 + i 5.414607e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.676636e-02 + i 1.033146e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.858149e-01 + i 1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; -1.037206e-01 + i -6.391672e-02 ; 1.037206e-01 + i 6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; -2.858149e-01 + i -1.761303e-01 ; 0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 
-1.685417e-02 + i -1.038683e-02 ; -7.026974e-03 + i -4.330297e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.610861e-02 + i -2.225217e-02 ; -2.126235e-02 + i -1.310269e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.079376e-02 + i -1.281456e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.302363e-02 + i -3.267587e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.379681e-02 + i -8.502765e-03 ; -5.974384e-03 + i -3.681650e-03 ; 5.974384e-03 + i 3.681650e-03 ; -2.534095e-02 + i -1.561672e-02 ; -1.607635e-02 + i -9.906875e-03 ; 1.607635e-02 + i 9.906875e-03 ; -1.685417e-02 + i -1.038683e-02 ; -0.000000e+00 + i -0.000000e+00 ; 7.026974e-03 + i 4.330297e-03 ; -3.610861e-02 + i -2.225217e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.126235e-02 + i 1.310269e-02 ; -9.530113e-02 + i -5.872892e-02 ; -2.858149e-01 + i -1.761303e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.403690e-05 + i -1.544185e-05 ; -1.037206e-01 + i -6.391672e-02 ; 1.037206e-01 + i 6.391672e-02 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.858149e-01 + i 1.761303e-01 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-7.026974e-03 + i -4.330297e-03 ; 7.469087e-03 + i 4.602115e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.126235e-02 + i -1.310269e-02 ; 1.413814e-02 + i 8.711850e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.038037e-02 + i 6.396163e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.648910e-02 + i 1.632299e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.974384e-03 + i -3.681650e-03 ; 6.882999e-03 + i 4.240945e-03 ; 1.601908e-03 + i 9.871587e-04 ; -1.607635e-02 + i -9.906875e-03 ; 1.265035e-02 + i 7.795015e-03 ; 5.889759e-03 + i 3.629501e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.353225e-03 + i 5.763195e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.192786e-02 + i 1.351218e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.858149e-01 + i -1.761303e-01 ; -9.530113e-02 + i -5.872892e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.077896e+00 + i -6.642425e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.257307e+00 + i 1.391041e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.037206e-01 + i -6.391672e-02 ; -2.403690e-05 + i -1.544185e-05 ; 1.037206e-01 + i 6.391672e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.530113e-02 + i -5.872892e-02 ; 2.858149e-01 + i 1.761303e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.905138e-01 + i 1.174014e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.388853e-01 + i 3.320816e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
