3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; -2.823804e-01 + i -2.454421e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.446514e-05 + i -2.209845e-05 ; -1.024743e-01 + i -8.906964e-02 ; -1.024743e-01 + i -8.906964e-02 ; -5.238708e-02 + i -4.553514e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.054432e-02 + i -1.785775e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.567524e-02 + i -3.100939e-02 ; -2.100694e-02 + i -1.825902e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.665204e-02 + i -1.447461e-02 ; -6.942596e-03 + i -6.034433e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.567524e-02 + i -3.100939e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.100694e-02 + i -1.825902e-02 ; -1.665204e-02 + i -1.447461e-02 ; 0.000000e+00 + i -0.000000e+00 ; -6.942596e-03 + i -6.034433e-03 ; -2.503692e-02 + i -2.176266e-02 ; -1.588325e-02 + i -1.380555e-02 ; -1.588325e-02 + i -1.380555e-02 ; -1.363139e-02 + i -1.184909e-02 ; -5.902650e-03 + i -5.130522e-03 ; -5.902650e-03 + i -5.130522e-03 ; 
-1.024743e-01 + i -8.906964e-02 ; -1.024743e-01 + i -8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; -0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; -2.823804e-01 + i -2.454421e-01 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; 4.963971e-02 + i 4.314633e-02 ; -2.870107e-02 + i -2.494668e-02 ; 1.903210e-02 + i 1.654167e-02 ; 1.588325e-02 + i 1.380555e-02 ; -5.819015e-03 + i -5.057828e-03 ; 1.249806e-02 + i 1.086235e-02 ; 8.680962e-02 + i 7.545403e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.656431e-02 + i 1.439669e-02 ; 2.100694e-02 + i 1.825902e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.396794e-02 + i 1.213996e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.675656e-02 + i 5.802328e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.028964e-01 + i 8.943564e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; 
-5.238708e-02 + i -4.553514e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.058663e-01 + i -1.789377e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.567524e-02 + i -3.100939e-02 ; 2.100694e-02 + i 1.825902e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.338433e-02 + i -7.247764e-02 ; 8.680962e-02 + i 7.545403e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.567524e-02 + i -3.100939e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.100694e-02 + i 1.825902e-02 ; -8.338433e-02 + i -7.247764e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.680962e-02 + i 7.545403e-02 ; -2.503692e-02 + i -2.176266e-02 ; 1.588325e-02 + i 1.380555e-02 ; 1.588325e-02 + i 1.380555e-02 ; -3.812081e-02 + i -3.313505e-02 ; 4.963971e-02 + i 4.314633e-02 ; 4.963971e-02 + i 4.314633e-02 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; -2.823804e-01 + i -2.454421e-01 ; 0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.446514e-05 + i -2.209845e-05 ; -1.024743e-01 + i -8.906964e-02 ; -1.024743e-01 + i -8.906964e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.028964e-01 + i 8.943564e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.100694e-02 + i 1.825902e-02 ; 1.396794e-02 + i 1.213996e-02 ; 0.000000e+00 + i -0.000000e+00 ; 8.680962e-02 + i 7.545403e-02 ; 1.656431e-02 + i 1.439669e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.675656e-02 + i 5.802328e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.588325e-02 + i 1.380555e-02 ; 1.249806e-02 + i 1.086235e-02 ; -5.819015e-03 + i -5.057828e-03 ; 4.963971e-02 + i 4.314633e-02 ; 1.903210e-02 + i 1.654167e-02 ; -2.870107e-02 + i -2.494668e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; -2.823804e-01 + i -2.454421e-01 ; -1.024743e-01 + i -8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; -1.024743e-01 + i -8.906964e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.028964e-01 + i 8.943564e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.675656e-02 + i 5.802328e-02 ; 2.100694e-02 + i 1.825902e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.396794e-02 + i 1.213996e-02 ; 8.680962e-02 + i 7.545403e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.656431e-02 + i 1.439669e-02 ; 1.588325e-02 + i 1.380555e-02 ; -5.819015e-03 + i -5.057828e-03 ; 1.249806e-02 + i 1.086235e-02 ; 4.963971e-02 + i 4.314633e-02 ; -2.870107e-02 + i -2.494668e-02 ; 1.903210e-02 + i 1.654167e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; -2.823804e-01 + i -2.454421e-01 ; 0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; -1.024743e-01 + i -8.906964e-02 ; -1.024743e-01 + i -8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; 
-2.054432e-02 + i -1.785775e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.238708e-02 + i -4.553514e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.665204e-02 + i -1.447461e-02 ; 6.942596e-03 + i 6.034433e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.567524e-02 + i -3.100939e-02 ; 2.100694e-02 + i 1.825902e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.665204e-02 + i -1.447461e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.942596e-03 + i 6.034433e-03 ; -3.567524e-02 + i -3.100939e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.100694e-02 + i 1.825902e-02 ; -1.363139e-02 + i -1.184909e-02 ; 5.902650e-03 + i 5.130522e-03 ; 5.902650e-03 + i 5.130522e-03 ; -2.503692e-02 + i -2.176266e-02 ; 1.588325e-02 + i 1.380555e-02 ; 1.588325e-02 + i 1.380555e-02 ; -1.064944e+00 + i -9.256394e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 2.823804e-01 + i 2.454421e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.823804e-01 + i 2.454421e-01 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.446514e-05 + i -2.209845e-05 ; 1.024743e-01 + i 8.906964e-02 ; 1.024743e-01 + i 8.906964e-02 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.025546e-02 + i 8.913107e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.942596e-03 + i 6.034433e-03 ; 7.379154e-03 + i 6.413051e-03 ; 0.000000e+00 + i -0.000000e+00 ; 2.100694e-02 + i 1.825902e-02 ; 1.396794e-02 + i 1.213996e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.240668e-03 + i 8.031060e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.902650e-03 + i 5.130522e-03 ; 6.800120e-03 + i 5.909761e-03 ; -1.582674e-03 + i -1.375644e-03 ; 1.588325e-02 + i 1.380555e-02 ; 1.249806e-02 + i 1.086235e-02 ; -5.819015e-03 + i -5.057828e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.823804e-01 + i 2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.024743e-01 + i 8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; -1.024743e-01 + i -8.906964e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; -2.823804e-01 + i -2.454421e-01 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.025546e-02 + i 8.913107e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.240668e-03 + i 8.031060e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; 6.942596e-03 + i 6.034433e-03 ; 0.000000e+00 + i -0.000000e+00 ; 7.379154e-03 + i 6.413051e-03 ; 2.100694e-02 + i 1.825902e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.396794e-02 + i 1.213996e-02 ; 5.902650e-03 + i 5.130522e-03 ; -1.582674e-03 + i -1.375644e-03 ; 6.800120e-03 + i 5.909761e-03 ; 1.588325e-02 + i 1.380555e-02 ; -5.819015e-03 + i -5.057828e-03 ; 1.249806e-02 + i 1.086235e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; 2.823804e-01 + i 2.454421e-01 ; 0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; 1.024743e-01 + i 8.906964e-02 ; -1.024743e-01 + i -8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; 0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; 
-3.567524e-02 + i -3.100939e-02 ; -2.100694e-02 + i -1.825902e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.338433e-02 + i -7.247764e-02 ; -8.680962e-02 + i -7.545403e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.238708e-02 + i -4.553514e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.058663e-01 + i -1.789377e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.503692e-02 + i -2.176266e-02 ; -1.588325e-02 + i -1.380555e-02 ; 1.588325e-02 + i 1.380555e-02 ; -3.812081e-02 + i -3.313505e-02 ; -4.963971e-02 + i -4.314633e-02 ; 4.963971e-02 + i 4.314633e-02 ; -3.567524e-02 + i -3.100939e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.100694e-02 + i 1.825902e-02 ; -8.338433e-02 + i -7.247764e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.680962e-02 + i 7.545403e-02 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 2.823804e-01 + i 2.454421e-01 ; 0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.446514e-05 + i -2.209845e-05 ; 1.024743e-01 + i 8.906964e-02 ; -1.024743e-01 + i -8.906964e-02 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; 
-2.100694e-02 + i -1.825902e-02 ; 1.396794e-02 + i 1.213996e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.680962e-02 + i -7.545403e-02 ; 1.656431e-02 + i 1.439669e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.028964e-01 + i 8.943564e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.588325e-02 + i -1.380555e-02 ; 1.249806e-02 + i 1.086235e-02 ; 5.819015e-03 + i 5.057828e-03 ; -4.963971e-02 + i -4.314633e-02 ; 1.903210e-02 + i 1.654167e-02 ; 2.870107e-02 + i 2.494668e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.675656e-02 + i 5.802328e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.823804e-01 + i 2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 2.823804e-01 + i 2.454421e-01 ; 1.024743e-01 + i 8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; 1.024743e-01 + i 8.906964e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.675656e-02 + i 5.802328e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.028964e-01 + i 8.943564e-02 ; 1.588325e-02 + i 1.380555e-02 ; 5.819015e-03 + i 5.057828e-03 ; 1.249806e-02 + i 1.086235e-02 ; 4.963971e-02 + i 4.314633e-02 ; 2.870107e-02 + i 2.494668e-02 ; 1.903210e-02 + i 1.654167e-02 ; 2.100694e-02 + i 1.825902e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.396794e-02 + i 1.213996e-02 ; 8.680962e-02 + i 7.545403e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.656431e-02 + i 1.439669e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.823804e-01 + i 2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; -1.024743e-01 + i -8.906964e-02 ; 1.024743e-01 + i 8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; -2.823804e-01 + i -2.454421e-01 ; 0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 
-1.665204e-02 + i -1.447461e-02 ; -6.942596e-03 + i -6.034433e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.567524e-02 + i -3.100939e-02 ; -2.100694e-02 + i -1.825902e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.054432e-02 + i -1.785775e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.238708e-02 + i -4.553514e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.363139e-02 + i -1.184909e-02 ; -5.902650e-03 + i -5.130522e-03 ; 5.902650e-03 + i 5.130522e-03 ; -2.503692e-02 + i -2.176266e-02 ; -1.588325e-02 + i -1.380555e-02 ; 1.588325e-02 + i 1.380555e-02 ; -1.665204e-02 + i -1.447461e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.942596e-03 + i 6.034433e-03 ; -3.567524e-02 + i -3.100939e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.100694e-02 + i 1.825902e-02 ; -9.415685e-02 + i -8.184100e-02 ; -2.823804e-01 + i -2.454421e-01 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.446514e-05 + i -2.209845e-05 ; -1.024743e-01 + i -8.906964e-02 ; 1.024743e-01 + i 8.906964e-02 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.823804e-01 + i 2.454421e-01 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 
-6.942596e-03 + i -6.034433e-03 ; 7.379154e-03 + i 6.413051e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.100694e-02 + i -1.825902e-02 ; 1.396794e-02 + i 1.213996e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.025546e-02 + i 8.913107e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.617048e-02 + i 2.274628e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.902650e-03 + i -5.130522e-03 ; 6.800120e-03 + i 5.909761e-03 ; 1.582674e-03 + i 1.375644e-03 ; -1.588325e-02 + i -1.380555e-02 ; 1.249806e-02 + i 1.086235e-02 ; 5.819015e-03 + i 5.057828e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.240668e-03 + i 8.031060e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.166408e-02 + i 1.882936e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.823804e-01 + i -2.454421e-01 ; -9.415685e-02 + i -8.184100e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.064944e+00 + i -9.256394e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.230176e+00 + i 1.938445e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.024743e-01 + i -8.906964e-02 ; -2.446514e-05 + i -2.209845e-05 ; 1.024743e-01 + i 8.906964e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.415685e-02 + i -8.184100e-02 ; 2.823804e-01 + i 2.454421e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.882235e-01 + i 1.636011e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.324081e-01 + i 4.627628e-01 ; -0.000000e+00 + i -0.000000e+00 ; 
